"month","year","url","row","bien","medida","cantidad","precio","total"
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","9","Leche","Litro",30,19.97,599.1
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","10","Huevos","Docena",7,40.07,280.49
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","11","Queso seco","Libra",9,47.4,426.6
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","12","Tortilla","Libra",57,11.28,642.96
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","13","Pinolillo","Libra",10,20.52,205.2
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","14","Pastas alimenticias","Libra",5,21.14,105.7
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","15","Pan","Libra",27,18.51,499.77
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","16","Tomate de cocinar","Libra",14,17.14,239.96
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","17","Cebolla blanca","Libra",8,16.17,129.36
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","18","Papas","Libra",15,12.47,187.05
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","19","Ayote","Libra",32,6.19,198.08
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","20","Chiltoma","Libra",3,22.61,67.83
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","21","Plátano verde","Libra",16,6.02,96.32
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","22","Naranja","Libra",46,3.07,141.22
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","23","Repollo","Libra",2,5.61,11.22
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","24","Jabón de lavar ropa","Unidad",12.55,12.07,151.4785
